time,oscillator_id,send_count,cycle_index,phase_ms,selected_run_index,selection
226751.69585145693,3,46,46,86.6958514569269,3,"KURAMOTO N=5 K=10, PER=0"
227449.95315349702,0,46,46,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
228097.43276859465,1,46,46,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
228741.90048842758,4,46,46,2076.9004884275782,3,"KURAMOTO N=5 K=10, PER=0"
231640.612759507,2,47,46,4975.612759506999,3,"KURAMOTO N=5 K=10, PER=0"
231752.387240493,3,47,47,87.38724049300072,3,"KURAMOTO N=5 K=10, PER=0"
232449.95315349702,0,47,47,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
233097.43276859465,1,47,47,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
233745.52144858564,4,47,47,2080.5214485856413,3,"KURAMOTO N=5 K=10, PER=0"
236639.91276673204,2,48,47,4974.912766732043,3,"KURAMOTO N=5 K=10, PER=0"
236753.08723326796,3,48,48,88.08723326795734,3,"KURAMOTO N=5 K=10, PER=0"
237449.95315349702,0,48,48,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
238097.43276859465,1,48,48,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
238745.52144858564,4,48,48,2080.5214485856413,3,"KURAMOTO N=5 K=10, PER=0"
241639.20406530538,2,49,48,4974.204065305385,3,"KURAMOTO N=5 K=10, PER=0"
241753.79593469462,3,49,49,88.79593469461543,3,"KURAMOTO N=5 K=10, PER=0"
242449.95315349702,0,49,49,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
243097.43276859465,1,49,49,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
243745.52144858564,4,49,49,2080.5214485856413,3,"KURAMOTO N=5 K=10, PER=0"
246638.48654911687,2,50,49,4973.486549116875,3,"KURAMOTO N=5 K=10, PER=0"
246754.51345088313,3,50,50,89.51345088312519,3,"KURAMOTO N=5 K=10, PER=0"
247449.95315349702,0,50,50,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
248097.43276859465,1,50,50,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
248745.52144858564,4,50,50,2080.5214485856413,3,"KURAMOTO N=5 K=10, PER=0"
251637.76011084844,2,51,50,4972.760110848438,3,"KURAMOTO N=5 K=10, PER=0"
251755.23988915156,3,51,51,90.23988915156224,3,"KURAMOTO N=5 K=10, PER=0"
252449.95315349702,0,51,51,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
253097.43276859465,1,51,51,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
253745.52144858564,4,51,51,2080.5214485856413,3,"KURAMOTO N=5 K=10, PER=0"
256637.02464196362,2,52,51,4972.024641963624,3,"KURAMOTO N=5 K=10, PER=0"
256755.97535803638,3,52,52,90.97535803637584,3,"KURAMOTO N=5 K=10, PER=0"
257449.95315349702,0,52,52,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
258097.43276859465,1,52,52,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
258745.52144858564,4,52,52,2080.5214485856413,3,"KURAMOTO N=5 K=10, PER=0"
261636.28003269716,2,53,52,4971.280032697163,3,"KURAMOTO N=5 K=10, PER=0"
261756.71996730284,3,53,53,91.71996730283718,3,"KURAMOTO N=5 K=10, PER=0"
262449.953153497,0,53,53,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
263097.43276859465,1,53,53,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
263745.52144858567,4,53,53,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
266635.52617204457,2,54,53,4970.526172044571,3,"KURAMOTO N=5 K=10, PER=0"
266757.47382795543,3,54,54,92.47382795542944,3,"KURAMOTO N=5 K=10, PER=0"
267449.953153497,0,54,54,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
268097.43276859465,1,54,54,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
268745.52144858567,4,54,54,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
271634.76294775185,2,55,54,4969.762947751849,3,"KURAMOTO N=5 K=10, PER=0"
271758.23705224815,3,55,55,93.23705224815058,3,"KURAMOTO N=5 K=10, PER=0"
272449.953153497,0,55,55,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
273097.43276859465,1,55,55,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
273745.52144858567,4,55,55,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
276633.9902463052,2,56,55,4968.990246305184,3,"KURAMOTO N=5 K=10, PER=0"
276759.0097536948,3,56,56,94.00975369481603,3,"KURAMOTO N=5 K=10, PER=0"
277449.953153497,0,56,56,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
278097.43276859465,1,56,56,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
278745.52144858567,4,56,56,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
281633.2079529207,2,57,56,4968.207952920697,3,"KURAMOTO N=5 K=10, PER=0"
281759.7920470793,3,57,57,94.7920470793033,3,"KURAMOTO N=5 K=10, PER=0"
282449.953153497,0,57,57,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
283097.43276859465,1,57,57,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
283745.52144858567,4,57,57,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
286632.41595153447,2,58,57,4967.415951534465,3,"KURAMOTO N=5 K=10, PER=0"
286760.58404846553,3,58,58,95.58404846553458,3,"KURAMOTO N=5 K=10, PER=0"
287449.953153497,0,58,58,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
288097.43276859465,1,58,58,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
288745.52144858567,4,58,58,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
291631.61412479234,2,59,58,4966.614124792337,3,"KURAMOTO N=5 K=10, PER=0"
291761.38587520766,3,59,59,96.38587520766305,3,"KURAMOTO N=5 K=10, PER=0"
292449.953153497,0,59,59,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
293097.43276859465,1,59,59,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
293745.52144858567,4,59,59,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
296630.8023540401,2,60,59,4965.80235404009,3,"KURAMOTO N=5 K=10, PER=0"
296762.1976459599,3,60,60,97.19764595991,3,"KURAMOTO N=5 K=10, PER=0"
297449.953153497,0,60,60,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
298097.43276859465,1,60,60,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
298745.52144858567,4,60,60,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
301629.98051931354,2,61,60,4964.98051931354,3,"KURAMOTO N=5 K=10, PER=0"
301763.01948068646,3,61,61,98.01948068646016,3,"KURAMOTO N=5 K=10, PER=0"
302449.953153497,0,61,61,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
303097.43276859465,1,61,61,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
303745.52144858567,4,61,61,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
306629.14849932893,2,62,61,4964.148499328934,3,"KURAMOTO N=5 K=10, PER=0"
306763.85150067107,3,62,62,98.85150067106588,3,"KURAMOTO N=5 K=10, PER=0"
307449.953153497,0,62,62,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
308097.43276859465,1,62,62,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
308745.52144858567,4,62,62,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
311628.3061714731,2,63,62,4963.306171473116,3,"KURAMOTO N=5 K=10, PER=0"
311764.6938285269,3,63,63,99.69382852688432,3,"KURAMOTO N=5 K=10, PER=0"
312449.953153497,0,63,63,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
313097.43276859465,1,63,63,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
313745.52144858567,4,63,63,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
316627.4534117944,2,64,63,4962.453411794384,3,"KURAMOTO N=5 K=10, PER=0"
316765.5465882056,3,64,64,100.54658820561599,3,"KURAMOTO N=5 K=10, PER=0"
317449.953153497,0,64,64,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
318097.43276859465,1,64,64,1432.4327685946482,3,"KURAMOTO N=5 K=10, PER=0"
318745.52144858567,4,64,64,2080.5214485856704,3,"KURAMOTO N=5 K=10, PER=0"
321626.59009499295,2,65,64,4961.590094992949,3,"KURAMOTO N=5 K=10, PER=0"
321766.40990500705,3,65,65,101.40990500705084,3,"KURAMOTO N=5 K=10, PER=0"
322449.953153497,0,65,65,784.9531534970156,3,"KURAMOTO N=5 K=10, PER=0"
