time,oscillator_id,send_count,cycle_index,record_type,action,carrier_sense_start,carrier_sense_end,blocking_oscillator_id,blocking_transmission_start,blocking_transmission_end,min_gap_rad,new_max_abs_dev,new_mean_abs_dev,selected_run_index,highlighted_device
867783.394810169,14,174.0,174,send,,,,,,,,,,0,20
867892.6723797541,38,174.0,174,send,,,,,,,,,,0,20
867997.7992757902,20,58.0,174,send,,,,,,,,,,0,20
868112.2455676397,10,174.0,174,send,,,,,,,,,,0,20
868221.7808119133,48,174.0,174,send,,,,,,,,,,0,20
868340.1381715451,34,174.0,174,send,,,,,,,,,,0,20
868448.9366218934,1,174.0,174,send,,,,,,,,,,0,20
868567.6065460859,40,174.0,174,send,,,,,,,,,,0,20
868676.2101268175,15,174.0,174,send,,,,,,,,,,0,20
868798.7500794551,36,166.0,174,send,,,,,,,,,,0,20
868909.1648329591,43,139.0,174,send,,,,,,,,,,0,20
869029.8143484156,45,174.0,174,send,,,,,,,,,,0,20
869150.0777248949,18,174.0,174,send,,,,,,,,,,0,20
869254.3850688405,47,174.0,174,send,,,,,,,,,,0,20
869368.5627260308,32,174.0,174,send,,,,,,,,,,0,20
869473.7599079923,5,174.0,174,send,,,,,,,,,,0,20
869588.5550592433,44,174.0,174,send,,,,,,,,,,0,20
869697.2382356089,9,165.0,174,send,,,,,,,,,,0,20
869814.7467927502,11,174.0,174,send,,,,,,,,,,0,20
869913.9909469443,30,174.0,174,send,,,,,,,,,,0,20
870014.1167627764,13,174.0,174,send,,,,,,,,,,0,20
870122.7496537669,4,174.0,174,send,,,,,,,,,,0,20
870214.2138972691,25,174.0,174,send,,,,,,,,,,0,20
870306.5515254016,35,168.0,174,send,,,,,,,,,,0,20
870398.5017275173,28,162.0,174,send,,,,,,,,,,0,20
870483.4758262519,21,147.0,174,send,,,,,,,,,,0,20
870575.6935005075,22,174.0,174,send,,,,,,,,,,0,20
870660.4209338592,16,123.0,175,send,,,,,,,,,,0,20
870744.8115745928,2,103.0,175,send,,,,,,,,,,0,20
870829.0391571057,6,175.0,175,send,,,,,,,,,,0,20
870913.0918261472,39,175.0,175,send,,,,,,,,,,0,20
870997.4213551233,41,175.0,175,send,,,,,,,,,,0,20
871080.7793436866,24,135.0,175,send,,,,,,,,,,0,20
871172.109656447,29,74.0,175,send,,,,,,,,,,0,20
871256.8555336144,12,175.0,175,send,,,,,,,,,,0,20
871344.6622087872,49,168.0,175,send,,,,,,,,,,0,20
871431.56510119,37,151.0,175,send,,,,,,,,,,0,20
871534.4641931199,46,144.0,175,send,,,,,,,,,,0,20
871637.3206246631,26,175.0,175,send,,,,,,,,,,0,20
871730.907354594,33,175.0,175,send,,,,,,,,,,0,20
871842.1450856407,0,175.0,175,send,,,,,,,,,,0,20
871945.0643703464,3,173.0,175,send,,,,,,,,,,0,20
872048.9768086473,8,175.0,175,send,,,,,,,,,,0,20
872152.4450555485,19,175.0,175,send,,,,,,,,,,0,20
872256.4744382005,42,175.0,175,send,,,,,,,,,,0,20
872361.6741995005,31,174.0,175,send,,,,,,,,,,0,20
872466.7014639338,27,175.0,175,send,,,,,,,,,,0,20
872572.4314551598,7,175.0,175,send,,,,,,,,,,0,20
872678.1018757862,17,175.0,175,send,,,,,,,,,,0,20
872778.6036230471,14,175.0,175,send,,,,,,,,,,0,20
872888.062094579,38,175.0,175,send,,,,,,,,,,0,20
873002.4095609654,20,59.0,175,send,,,,,,,,,,0,20
873107.4431543333,10,175.0,175,send,,,,,,,,,,0,20
873226.5832252197,48,175.0,175,send,,,,,,,,,,0,20
873335.3678596783,34,175.0,175,send,,,,,,,,,,0,20
873453.7069337602,1,175.0,175,send,,,,,,,,,,0,20
873562.8447251956,40,175.0,175,send,,,,,,,,,,0,20
873680.9719477078,15,175.0,175,send,,,,,,,,,,0,20
873793.909352126,36,167.0,175,send,,,,,,,,,,0,20
873914.0055602882,43,140.0,175,send,,,,,,,,,,0,20
874024.545000639,45,175.0,175,send,,,,,,,,,,0,20
874145.503173862,18,175.0,175,send,,,,,,,,,,0,20
874258.9596198733,47,175.0,175,send,,,,,,,,,,0,20
874363.9493764731,32,175.0,175,send,,,,,,,,,,0,20
874478.3732575501,5,175.0,175,send,,,,,,,,,,0,20
874583.7897701295,44,175.0,175,send,,,,,,,,,,0,20
874702.0035247228,9,166.0,175,send,,,,,,,,,,0,20
874810.3931132465,11,175.0,175,send,,,,,,,,,,0,20
874918.344626448,30,175.0,175,send,,,,,,,,,,0,20
875018.508915931,13,175.0,175,send,,,,,,,,,,0,20
875118.7356976629,4,175.0,175,send,,,,,,,,,,0,20
875218.227853373,25,175.0,175,send,,,,,,,,,,0,20
875302.5163374948,35,169.0,175,send,,,,,,,,,,0,20
875394.7714698244,28,163.0,175,send,,,,,,,,,,0,20
875487.2060839449,21,148.0,175,send,,,,,,,,,,0,20
875571.9740301111,22,175.0,175,send,,,,,,,,,,0,20
875656.7161928266,16,124.0,175,send,,,,,,,,,,0,20
875741.1139650237,2,104.0,176,send,,,,,,,,,,0,20
875825.34919767,6,176.0,176,send,,,,,,,,,,0,20
875916.7817855829,39,176.0,176,send,,,,,,,,,,0,20
875993.7617804575,41,176.0,176,send,,,,,,,,,,0,20
876084.4389183525,24,136.0,176,send,,,,,,,,,,0,20
876168.3893794438,29,75.0,176,send,,,,,,,,,,0,20
876260.5758106175,12,176.0,176,send,,,,,,,,,,0,20
876340.8476125431,49,169.0,176,send,,,,,,,,,,0,20
876435.379697434,37,152.0,176,send,,,,,,,,,,0,20
876529.952916701,46,145.0,176,send,,,,,,,,,,0,20
876633.213947056,26,176.0,176,send,,,,,,,,,,0,20
876735.0140322011,33,176.0,176,send,,,,,,,,,,0,20
876837.631067869,0,176.0,176,send,,,,,,,,,,0,20
876949.5783881181,3,174.0,176,send,,,,,,,,,,0,20
877044.4388489831,8,176.0,176,send,,,,,,,,,,0,20
877156.9830152126,19,176.0,176,send,,,,,,,,,,0,20
877261.0368684503,42,176.0,176,send,,,,,,,,,,0,20
877357.068258206,31,175.0,176,send,,,,,,,,,,0,20
877471.3074052283,27,176.0,176,send,,,,,,,,,,0,20
877567.7974738987,7,176.0,176,send,,,,,,,,,,0,20
877673.6933195005,17,176.0,176,send,,,,,,,,,,0,20
877783.0121793328,14,176.0,176,send,,,,,,,,,,0,20
877892.8611631587,38,176.0,176,send,,,,,,,,,,0,20
877997.8033437309,20,60.0,176,send,,,,,,,,,,0,20
878112.0493715678,10,176.0,176,send,,,,,,,,,,0,20
878221.8135153378,48,176.0,176,send,,,,,,,,,,0,20
878340.1375695603,34,176.0,176,send,,,,,,,,,,0,20
878448.9218366019,1,176.0,176,send,,,,,,,,,,0,20
878567.6298223538,40,176.0,176,send,,,,,,,,,,0,20
878676.0213592103,15,176.0,176,send,,,,,,,,,,0,20
878798.8599406235,36,168.0,176,send,,,,,,,,,,0,20
878909.1594017089,43,141.0,176,send,,,,,,,,,,0,20
879029.3911592184,45,176.0,176,send,,,,,,,,,,0,20
879140.5299872953,18,176.0,176,send,,,,,,,,,,0,20
879254.3553139176,47,176.0,176,send,,,,,,,,,,0,20
879368.5536824288,32,176.0,176,send,,,,,,,,,,0,20
879473.7503456704,5,176.0,176,send,,,,,,,,,,0,20
879588.4126820092,44,176.0,176,send,,,,,,,,,,0,20
879697.2510283589,9,167.0,176,send,,,,,,,,,,0,20
879805.6597067094,11,176.0,176,send,,,,,,,,,,0,20
879913.9507945158,30,176.0,176,send,,,,,,,,,,0,20
880022.9027478632,13,176.0,176,send,,,,,,,,,,0,20
880114.3711954111,4,176.0,176,send,,,,,,,,,,0,20
880214.5275802119,25,176.0,176,send,,,,,,,,,,0,20
880306.216610656,35,170.0,176,send,,,,,,,,,,0,20
880398.8199795345,28,164.0,176,send,,,,,,,,,,0,20
880483.4848417968,21,149.0,176,send,,,,,,,,,,0,20
880568.2539155526,22,176.0,176,send,,,,,,,,,,0,20
880653.0111398981,16,125.0,176,send,,,,,,,,,,0,20
880737.4160208671,2,105.0,177,send,,,,,,,,,,0,20
880829.0471418266,6,177.0,177,send,,,,,,,,,,0,20
880913.401306664,39,177.0,177,send,,,,,,,,,,0,20
880997.1422593764,41,177.0,177,send,,,,,,,,,,0,20
881080.7534292351,24,137.0,177,send,,,,,,,,,,0,20
881172.0748685612,29,76.0,177,send,,,,,,,,,,0,20
881257.0512566877,12,177.0,177,send,,,,,,,,,,0,20
881344.372166473,49,170.0,177,send,,,,,,,,,,0,20
881439.5276638124,37,153.0,177,send,,,,,,,,,,0,20
881534.1026795079,46,146.0,177,send,,,,,,,,,,0,20
881628.7487475855,26,177.0,177,send,,,,,,,,,,0,20
881739.4792316717,33,177.0,177,send,,,,,,,,,,0,20
881842.1319027334,0,177.0,177,send,,,,,,,,,,0,20
881945.4160811492,3,175.0,177,send,,,,,,,,,,0,20
882048.601155952,8,177.0,177,send,,,,,,,,,,0,20
882152.4195178756,19,177.0,177,send,,,,,,,,,,0,20
882256.8234313356,42,177.0,177,send,,,,,,,,,,0,20
882361.2816953207,31,176.0,177,send,,,,,,,,,,0,20
882467.0739417777,27,177.0,177,send,,,,,,,,,,0,20
882572.0309373493,7,177.0,177,send,,,,,,,,,,0,20
882678.337127999,17,177.0,177,send,,,,,,,,,,0,20
882787.8051653921,14,177.0,177,send,,,,,,,,,,0,20
882888.2589315289,38,177.0,177,send,,,,,,,,,,0,20
883002.4055753606,20,61.0,177,send,,,,,,,,,,0,20
883107.2369861559,10,177.0,177,send,,,,,,,,,,0,20
883226.6259007497,48,177.0,177,send,,,,,,,,,,0,20
883335.3678756874,34,177.0,177,send,,,,,,,,,,0,20
883453.6915304748,1,177.0,177,send,,,,,,,,,,0,20
883562.8772410916,40,177.0,177,send,,,,,,,,,,0,20
883680.7739404725,15,177.0,177,send,,,,,,,,,,0,20
883794.0242354373,36,169.0,177,send,,,,,,,,,,0,20
883913.9951068951,43,142.0,177,send,,,,,,,,,,0,20
884024.5188934957,45,177.0,177,send,,,,,,,,,,0,20
884145.402253018,18,177.0,177,send,,,,,,,,,,0,20
884259.3445595487,47,177.0,177,send,,,,,,,,,,0,20
884363.9403554865,32,177.0,177,send,,,,,,,,,,0,20
884478.3636726127,5,177.0,177,send,,,,,,,,,,0,20
884583.6406318049,44,177.0,177,send,,,,,,,,,,0,20
884692.4977001584,9,168.0,177,send,,,,,,,,,,0,20
884800.9115025452,11,177.0,177,send,,,,,,,,,,0,20
884918.69899868,30,177.0,177,send,,,,,,,,,,0,20
885018.8886080758,13,177.0,177,send,,,,,,,,,,0,20
885118.3853351985,4,177.0,177,send,,,,,,,,,,0,20
885210.5038028546,25,177.0,177,send,,,,,,,,,,0,20
885310.2403880133,35,171.0,177,send,,,,,,,,,,0,20
885395.1032455858,28,165.0,177,send,,,,,,,,,,0,20
885487.2015757455,21,150.0,177,send,,,,,,,,,,0,20
885564.5331423023,22,177.0,177,send,,,,,,,,,,0,20
885649.3057760664,16,126.0,177,send,,,,,,,,,,0,20
885741.1213846988,2,106.0,178,send,,,,,,,,,,0,20
885825.3439960789,6,178.0,178,send,,,,,,,,,,0,20
885909.7249811054,39,178.0,178,send,,,,,,,,,,0,20
885993.4716104384,41,178.0,178,send,,,,,,,,,,0,20
886084.424078173,24,138.0,178,send,,,,,,,,,,0,20
886168.344510749,29,77.0,178,send,,,,,,,,,,0,20
886260.7816145,12,178.0,178,send,,,,,,,,,,0,20
886348.2050380332,49,171.0,178,send,,,,,,,,,,0,20
886435.3778225518,37,154.0,178,send,,,,,,,,,,0,20
886538.2525207686,46,147.0,178,send,,,,,,,,,,0,20
886632.9016918327,26,178.0,178,send,,,,,,,,,,0,20
886734.9768424986,33,178.0,178,send,,,,,,,,,,0,20
886846.6342919064,0,178.0,178,send,,,,,,,,,,0,20
886940.8904712031,3,176.0,178,send,,,,,,,,,,0,20
887053.1267658981,8,178.0,178,send,,,,,,,,,,0,20
887156.9727459818,19,178.0,178,send,,,,,,,,,,0,20
887261.4021932492,42,178.0,178,send,,,,,,,,,,0,20
887365.8628271407,31,177.0,178,send,,,,,,,,,,0,20
887462.4710642087,27,178.0,178,send,,,,,,,,,,0,20
887576.6338149183,7,178.0,178,send,,,,,,,,,,0,20
