coupling_function,coupling_parameter,alpha,window_mode,device_count,run_index,run_id,expected_packets,actual_packets,successful_packets,raw_send_packets,simultaneous_collision_count,overall_per_percent,ttu_cycle,max_convergence_cycle,mingap_convergence_cycle,aux_mean_convergence_cycle,max_converged,mingap_converged,aux_mean_converged,final_10_cycle_new_mean_abs_dev,final_10_cycle_new_max_abs_dev,final_10_cycle_min_gap_median,epsilon_tolerance_rad,minimum_collision_free_gap_rad,carrier_sense_duration_ms,airtime_ms,occupied_time_ms,backoff_retry_total,retry_exhausted_abandon_total,csma_w0_ms,csma_w_max_ms,csma_max_retries
CSMA_CA,0,0,fixed_anchor,5,34,csma_ca_0034,900,882,882,882,0,2.0,15.0,,1,,False,True,False,1.5673154421347193,3.899344801635651,0.04122934402538858,1.224537524338598,0.03209953709731907,5,20.544,25.544,461,18,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,35,csma_ca_0035,900,888,888,888,0,1.3333333333333333,10.0,,1,1.0,False,True,True,0.9982724816046925,2.4956812040117313,0.04100675818949728,1.224537524338598,0.03209953709731907,5,20.544,25.544,457,12,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,36,csma_ca_0036,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,1.0234052228334112,2.5585130570835277,0.4410796085640074,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,37,csma_ca_0037,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.8354123184425978,1.9339644375498763,0.33803536952626256,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,38,csma_ca_0038,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.9852034561657591,2.4630086404143974,0.14953981031087427,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,39,csma_ca_0039,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.9605733697616152,2.4014334244040385,0.3154159024204153,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,40,csma_ca_0040,900,900,900,900,0,0.0,10.0,1.0,1,1.0,True,True,True,0.5237663272064903,1.1272034441080188,0.5566902182161115,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,41,csma_ca_0041,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,1.0158654004647956,2.0407785877719293,0.13697343969651588,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,42,csma_ca_0042,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.8806512526542909,2.050831684263417,0.10932742434492482,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
CSMA_CA,0,0,fixed_anchor,5,43,csma_ca_0043,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,1.0786972535365913,2.6967431338414785,0.06785840131754028,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,10.0,200.0,3
