cycle_index,min_gap_rad,new_max_abs_dev,new_mean_abs_dev,function,K,run_index,selected_for_median
146,0.046103776297917065,0.11174632700934967,0.02925423212610988,KURAMOTO,500,9,True
147,0.05234063145385681,0.09472890581151167,0.03457191976432032,KURAMOTO,500,9,True
148,0.06802112859608078,0.07885475970959116,0.029001131742666164,KURAMOTO,500,9,True
149,0.05335919613842588,0.11016245635824456,0.024118940440567328,KURAMOTO,500,9,True
150,0.05245495197816119,0.08090666072272706,0.03848110236932335,KURAMOTO,500,9,True
151,0.06334285437756737,0.10142568915855915,0.028152024633130088,KURAMOTO,500,9,True
152,0.0531541266505382,0.07250957949305353,0.03072622264631046,KURAMOTO,500,9,True
153,0.051135836122342015,0.07812505150026333,0.030667755358623375,KURAMOTO,500,9,True
154,0.06033443874474376,0.1009766967327203,0.03100728725532519,KURAMOTO,500,9,True
155,0.05720770209461534,0.1342295511053077,0.0362495919948873,KURAMOTO,500,9,True
156,0.05903550360405596,0.09514653168236825,0.02796549651813702,KURAMOTO,500,9,True
157,0.04766261023678453,0.0930304057544093,0.03413090264125812,KURAMOTO,500,9,True
158,0.06708915526527814,0.11651780453861632,0.028782415889140812,KURAMOTO,500,9,True
159,0.05023278368454896,0.09952052965700026,0.03161830336511788,KURAMOTO,500,9,True
160,0.056662991976644594,0.07979230692607259,0.029869127228521898,KURAMOTO,500,9,True
161,0.05159272007309035,0.07407098607050139,0.029684496229474062,KURAMOTO,500,9,True
162,0.06367369352414265,0.08757837226783821,0.0314639493279105,KURAMOTO,500,9,True
163,0.07336685330820725,0.0783090380117108,0.026162054332720893,KURAMOTO,500,9,True
164,0.05748342988131583,0.09936333889404175,0.029508479740359018,KURAMOTO,500,9,True
165,0.05087035653190064,0.08677866843481458,0.03214474803068189,KURAMOTO,500,9,True
166,0.07211336726508177,0.10174068875493064,0.03360224962905361,KURAMOTO,500,9,True
167,0.04964075009279173,0.09456073211792687,0.028530193646718303,KURAMOTO,500,9,True
168,0.049946060712796836,0.0757176454307949,0.03443515944979863,KURAMOTO,500,9,True
169,0.0567590655996712,0.10840256467374382,0.02605142095699228,KURAMOTO,500,9,True
170,0.05972839082364256,0.09663785343118086,0.034791959330527505,KURAMOTO,500,9,True
171,0.0713136037420754,0.08168571597045177,0.02552348451192956,KURAMOTO,500,9,True
172,0.05505671081984609,0.07750185052645636,0.032118860105855594,KURAMOTO,500,9,True
173,0.051863593731562574,0.11512619523298245,0.034558788560269164,KURAMOTO,500,9,True
174,0.04392040910121259,0.08174329704237915,0.028585335520342897,KURAMOTO,500,9,True
175,0.05242015375003195,0.0754482619283276,0.029480694298589728,KURAMOTO,500,9,True
176,0.06082921499740657,0.07406514501545808,0.025878195718082742,KURAMOTO,500,9,True
177,0.05482703601451355,0.11227558397664444,0.03350394762656171,KURAMOTO,500,9,True
178,0.06077278546524856,0.08791329391465136,0.02669729530465524,KURAMOTO,500,9,True
179,0.04690827754651661,0.07875542859707513,0.03178121026203423,KURAMOTO,500,9,True
180,0.04761911718401901,0.09100591759307991,0.028665676515162573,KURAMOTO,500,9,True
1,0.0012566370614357503,0.3229557247890306,0.08831528371300795,LINEAR,10,24,True
2,0.0013219821886298888,0.3120079027097999,0.08644837192610166,LINEAR,10,24,True
3,0.0014120579331948768,0.3094298313534953,0.07852112543539468,LINEAR,10,24,True
4,0.0015267153886626694,0.30094815665225133,0.07353278196001951,LINEAR,10,24,True
5,0.0016658063441652438,0.2976516386919254,0.06912274489528268,LINEAR,10,24,True
6,0.0018291832814338882,0.2898818620189327,0.06785738936562344,LINEAR,10,24,True
7,0.0020166993718615522,0.2858737704452869,0.06413557466939716,LINEAR,10,24,True
8,0.0022282084735114616,0.27880924998839446,0.060421207772118415,LINEAR,10,24,True
9,0.0024635651281781357,0.27409626499864376,0.056988026516960145,LINEAR,10,24,True
10,0.002722624558485709,0.26773040175449453,0.05433830337824523,LINEAR,10,24,True
11,0.00507732073678635,0.26231911251394874,0.05211137149575043,LINEAR,10,24,True
12,0.005209267700317266,0.256645348424642,0.04987624394668871,LINEAR,10,24,True
13,0.005340934548417997,0.25054230322144216,0.048271329517118405,LINEAR,10,24,True
14,0.005472321847932671,0.24555412174816443,0.04691251713436678,LINEAR,10,24,True
15,0.005603430164452861,0.2390084599895232,0.04580639605100843,LINEAR,10,24,True
16,0.005758840793723685,0.2455737043580714,0.04392927169755741,LINEAR,10,24,True
17,0.005913875303080629,0.2344192469175101,0.04276832881355667,LINEAR,10,24,True
18,0.006068583769087477,0.22667209688795137,0.04120994963993117,LINEAR,10,24,True
19,0.00622296675131051,0.23443377194096832,0.03968426408205138,LINEAR,10,24,True
20,0.00637702490712988,0.22322962342690839,0.03821913271501395,LINEAR,10,24,True
21,0.006530758892298816,0.21460257174950675,0.036698043191598355,LINEAR,10,24,True
22,0.00668416936116234,0.2232395608278674,0.037031544201683954,LINEAR,10,24,True
23,0.019052707408783953,0.21198597228844357,0.03611364750737214,LINEAR,10,24,True
24,0.019181093954751982,0.202557392025475,0.03556400234432219,LINEAR,10,24,True
25,0.01933369050101752,0.21199173939486043,0.035123889750039626,LINEAR,10,24,True
26,0.019485916876197718,0.20068891212590073,0.03457442645708621,LINEAR,10,24,True
27,0.01963782294833527,0.19053669520664068,0.03409342417870436,LINEAR,10,24,True
28,0.019789409265402957,0.18938326180613635,0.0340802052969369,LINEAR,10,24,True
29,0.019940676472748886,0.1878258148920839,0.03359862144159823,LINEAR,10,24,True
30,0.020091625214422315,0.18940546261528696,0.033585252188262284,LINEAR,10,24,True
