k,residual_median,residual_q1,residual_q3,n_runs
113.0,0.06472099772504006,0.06417055429476091,0.06528780057134156,488
114.0,0.06538293836868822,0.06486935717247512,0.0659769399126355,486
115.0,0.06593771490315928,0.06545466023110666,0.06655146183325393,481
116.0,0.06664549391038574,0.0661094721648909,0.06717666790521477,486
117.0,0.06717954102660077,0.06667969550795083,0.0678036549419014,484
118.0,0.06775220056907884,0.06722278308540541,0.06840297563396991,483
119.0,0.0683332312640744,0.06764425636135651,0.06902426892676915,482
120.0,0.06889666438390075,0.06815490866750162,0.06962715109567302,484
121.0,0.06945831335217373,0.06852153469741415,0.07016136865091295,484
122.0,0.07005540180223736,0.06909637083899425,0.07069189710308334,477
123.0,0.07050208579869183,0.06955152936620457,0.07112395045743872,482
124.0,0.0711162203378551,0.06997973251325693,0.07189627108880259,487
125.0,0.07165224733192319,0.07047917072138138,0.07245398385227395,483
126.0,0.07200807643772913,0.07069620787165255,0.07299147249228263,484
127.0,0.07242734261306738,0.0711193227427586,0.07348797851757685,480
128.0,0.07305307253323348,0.07168695028545394,0.07413537067024442,490
129.0,0.07345030740919921,0.07185083860717749,0.0746499166514413,483
130.0,0.07401162814004553,0.07248763311442148,0.0751924030332817,476
131.0,0.07442170265899775,0.07298549878513311,0.07578726760010293,485
132.0,0.07470712820830186,0.07305841843918037,0.07616878999216997,485
133.0,0.07565630920617898,0.07401882444413638,0.07701063472074898,487
134.0,0.0759196243716048,0.07453757518148824,0.07747533926107014,482
135.0,0.07651616274747958,0.07483017924866155,0.07805246791403282,486
136.0,0.07681152654012786,0.07508420725587643,0.07834909669030371,471
137.0,0.07728544534283643,0.07576788329572162,0.07909285322365307,482
138.0,0.07772563715824582,0.07597195911448995,0.07927206687597539,482
139.0,0.07832349914603443,0.07658750567864145,0.08008562005026655,486
140.0,0.0789099060111714,0.07740768697898807,0.08075263870022366,482
141.0,0.07926605480155492,0.07765450445218655,0.08083969012388562,479
142.0,0.07956893167889037,0.07806182842896324,0.08145892935115244,478
143.0,0.08000151015553698,0.07849652444659905,0.08205115818227735,483
144.0,0.08057407001328576,0.07886362351009255,0.08242035528087255,482
145.0,0.08079908025866582,0.07920636920980728,0.08275934403710132,484
146.0,0.0813098778472183,0.07978830623065607,0.08315972878831047,482
147.0,0.08172903716872251,0.08019816537147566,0.08390544819039314,473
148.0,0.08270997495835165,0.08093427807972184,0.0845374419988036,480
149.0,0.08276113982473754,0.08101332661501427,0.08470249541191967,484
150.0,0.08338925242224728,0.08138436183609979,0.08524618220542542,479
