k,residual_median,residual_q1,residual_q3,residual_3min_median,residual_3min_q1,residual_3min_q3,n_runs
101.0,0.059421051773045866,0.05823718338791922,0.060461570663916456,0.05803956703345338,0.05583061379868371,0.0609652592519586,494
102.0,0.059758540844478916,0.05854587352905602,0.060974067038883945,0.05863078200637439,0.056502584750092046,0.06141691199060063,491
103.0,0.06031677154863389,0.05921553139879893,0.061480136814618995,0.05923919685648821,0.05688725375194691,0.06176958499738921,490
104.0,0.060996734472305525,0.05975753943371245,0.0621363410370455,0.05969068255523759,0.057363156338487445,0.06241668090294818,491
105.0,0.061698210613494106,0.06041173273449106,0.06271842841029315,0.060187092409162105,0.05783597713195106,0.06293680602039356,494
106.0,0.06217280309934431,0.06097828166438363,0.06330248460178108,0.06070106358000158,0.058212524069136164,0.06353892641563638,495
107.0,0.06239408944682031,0.06131069850963107,0.06371675647296053,0.06117908449432254,0.058572014029029285,0.06436928339445121,497
108.0,0.06326190439044746,0.061894626783348415,0.06442430837652745,0.06180067406859857,0.05925833296555404,0.06473008512788149,494
109.0,0.06379084974541374,0.062482967058153746,0.06510676827306312,0.06228421693536916,0.06005903256862638,0.06513029766672693,489
110.0,0.06408477847417614,0.06276550909464565,0.06552134497230656,0.06283176539527299,0.060764828579956236,0.06578578195584583,488
111.0,0.06495206193580372,0.06354742732649644,0.06614679106022629,0.063500316741002,0.06116807190334146,0.06626632456396857,493
112.0,0.06527170485605409,0.06368185196631809,0.06680836716102846,0.06371261293223796,0.06158158864628033,0.06706949805395174,494
113.0,0.06571336712123846,0.06419113917105969,0.06731342788172208,0.06425661192180065,0.06212570000968454,0.06722536642079457,493
114.0,0.06631209742560652,0.06462501043134256,0.06772002587574547,0.0646402687179701,0.06250165706510097,0.0677289934766106,495
115.0,0.06684372056450918,0.06502749293261635,0.06831599496877908,0.06524863250235824,0.06287923912345716,0.06830116035127401,493
116.0,0.06730751411916477,0.06562162737100513,0.06880804035652932,0.06569747383482062,0.06330784755421683,0.06872595632613104,492
117.0,0.0679035901969716,0.06639017783299177,0.06935626619410165,0.06635820585283488,0.06409563105639698,0.06925967909950431,493
118.0,0.06841862007979498,0.0667406271311061,0.06992126341560016,0.06701909160722877,0.06433045325281006,0.06975056118424654,494
119.0,0.06885099053340446,0.06707430774908367,0.07047757227143313,0.0672250983942628,0.06492358844873662,0.0701295291678549,492
120.0,0.06914216934421008,0.06749810515529986,0.07087863086121354,0.06799645626247772,0.06543395019756448,0.07090085873820945,496
121.0,0.06960388226647865,0.06775340248819059,0.07122205663208249,0.06860510368042985,0.06611275376098268,0.07122949448761813,496
122.0,0.07012434479235384,0.06828313013531032,0.07188787044536865,0.06904734956770686,0.06676156715592449,0.07184092054612064,495
123.0,0.07050027081856602,0.06881290353798321,0.07220719418256855,0.06965881633284371,0.06727108926365385,0.07233594944583363,496
124.0,0.0710805721684258,0.06926454748027805,0.07316727237509138,0.0702648482455035,0.0679198890035762,0.0731488352397649,493
125.0,0.07167143017271606,0.06978618218862057,0.07336465825287447,0.07075630941152633,0.06850889183588708,0.0735635299353608,494
126.0,0.07164571235994485,0.07007122602308785,0.07353368763041389,0.07128607195799758,0.06883188660339648,0.07403451035786274,491
127.0,0.07250035164737653,0.07091163741997905,0.07457888938292236,0.07144913946529849,0.0693029977611897,0.07455947591889417,493
128.0,0.07269538999945692,0.07090582796344452,0.0747367962720956,0.07214343813289617,0.0697693316129906,0.07486474213973279,486
129.0,0.07307800093531794,0.07134665203650785,0.07516028962896319,0.07257135999082798,0.07035441316078728,0.0754824044423732,493
130.0,0.07366798083091214,0.0718501481123339,0.07549319825469855,0.0731403272209891,0.070707202287454,0.07599362765652207,485
131.0,0.07393539413108942,0.07234412618839503,0.07607900315422304,0.07364370188356896,0.07147002364887203,0.07665621683047079,493
132.0,0.07459504515156741,0.07269893858873026,0.0764966275823932,0.07410670297914322,0.0717970084487679,0.07650503902441551,493
133.0,0.07500659628916789,0.07305835281898729,0.07701290270048518,0.07462885044322659,0.07240489311921466,0.07732670202817442,490
134.0,0.07534254485668342,0.07354458513269471,0.0774550787616242,0.07536143678206794,0.07283779200014039,0.07776200721417659,489
135.0,0.07600269114646836,0.07370847421587567,0.07814401470504934,0.07565515935911188,0.07311056141638228,0.07828966132887075,491
136.0,0.07640898988045935,0.0744225802332984,0.0783383101748544,0.0760895009208217,0.0737929345531031,0.0789928991845642,494
137.0,0.07647934024743282,0.07480180880550608,0.07872757303497072,0.07664065425179079,0.07427872471086154,0.0793145924392595,490
138.0,0.076922744802643,0.07507347085941646,0.07906659976613879,0.07704911481199495,0.07502968385328948,0.07978653987835374,490
139.0,0.07775528093806702,0.07599829209187507,0.07961419636915279,0.07764057308840443,0.07541229319440892,0.08012041664647594,497
140.0,0.07824406196439666,0.07637146740217678,0.08025153115320124,0.07826408553905734,0.0757484212337636,0.0808322198106363,493
141.0,0.07862890927467794,0.07644371792822702,0.08099098116925875,0.07874530554103672,0.07635322422486202,0.08092066070394874,493
142.0,0.0789294487204844,0.07683995271167375,0.08146862168389622,0.0791274653449386,0.07684059571770033,0.08154488598460398,486
143.0,0.07928438666635448,0.0771354785852421,0.08173236734440899,0.07958661845556265,0.07730802277883178,0.0820912581991813,492
144.0,0.07997174187086488,0.07784611840886688,0.08202487883108002,0.08016364221036104,0.07815752879383572,0.08272487145104625,496
145.0,0.08060560930712404,0.07862452333613645,0.08270388168832912,0.08052031992277578,0.07843913659289797,0.08339829854014763,490
146.0,0.08051203300552233,0.0784941628322188,0.08306975100051676,0.08110397560218884,0.07880040638324178,0.08413159074610266,489
147.0,0.08101616119834193,0.07902407560666344,0.08340973943608586,0.08171651626545462,0.07930268334021003,0.08407017978233189,493
148.0,0.08198719833994453,0.07996483721823928,0.08424504041636685,0.08187353689307295,0.07965989576965513,0.08484818017974455,489
149.0,0.08243142857090224,0.0800004472937581,0.08458789931270906,0.08253203005364554,0.08033141335695541,0.08519521102209932,490
150.0,0.08294462058827862,0.0805269678004436,0.08504230168560377,0.0830117942429186,0.08077663175222491,0.08582729147358964,492
