function,label,k,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,time_to_usable_median_min,time_to_usable_q1_min,time_to_usable_q3_min
LINEAR,Frog chorus,38.0,15.0,13.0,20.0,2.5,2.1666666666666665,3.3333333333333335
LINEAR,Frog chorus,39.0,16.0,13.0,21.0,2.6666666666666665,2.1666666666666665,3.5
LINEAR,Frog chorus,40.0,15.0,13.0,21.0,2.5,2.1666666666666665,3.5
LINEAR,Frog chorus,41.0,16.0,13.0,24.0,2.6666666666666665,2.1666666666666665,4.0
LINEAR,Frog chorus,42.0,16.0,13.0,25.5,2.6666666666666665,2.1666666666666665,4.25
LINEAR,Frog chorus,43.0,16.0,13.0,30.5,2.6666666666666665,2.1666666666666665,5.083333333333333
LINEAR,Frog chorus,44.0,16.0,14.0,40.0,2.6666666666666665,2.3333333333333335,6.666666666666667
LINEAR,Frog chorus,45.0,17.0,14.0,42.75,2.8333333333333335,2.3333333333333335,7.125
LINEAR,Frog chorus,46.0,17.0,14.0,47.0,2.8333333333333335,2.3333333333333335,7.833333333333333
LINEAR,Frog chorus,47.0,18.0,14.0,57.5,3.0,2.3333333333333335,9.583333333333334
LINEAR,Frog chorus,48.0,20.0,14.0,59.25,3.3333333333333335,2.3333333333333335,9.875
LINEAR,Frog chorus,49.0,21.0,15.0,61.75,3.5,2.5,10.291666666666666
LINEAR,Frog chorus,50.0,23.0,15.0,61.0,3.8333333333333335,2.5,10.166666666666666
LINEAR,Frog chorus,51.0,24.0,15.0,66.0,4.0,2.5,11.0
LINEAR,Frog chorus,52.0,27.0,15.5,70.5,4.5,2.5833333333333335,11.75
LINEAR,Frog chorus,53.0,32.0,16.0,76.0,5.333333333333333,2.6666666666666665,12.666666666666666
LINEAR,Frog chorus,54.0,35.0,16.0,82.0,5.833333333333333,2.6666666666666665,13.666666666666666
LINEAR,Frog chorus,55.0,33.0,16.0,71.75,5.5,2.6666666666666665,11.958333333333334
LINEAR,Frog chorus,56.0,39.0,17.0,85.0,6.5,2.8333333333333335,14.166666666666666
LINEAR,Frog chorus,57.0,43.0,17.0,86.5,7.166666666666667,2.8333333333333335,14.416666666666666
LINEAR,Frog chorus,58.0,51.0,19.0,97.0,8.5,3.1666666666666665,16.166666666666668
LINEAR,Frog chorus,59.0,51.0,21.0,95.0,8.5,3.5,15.833333333333334
LINEAR,Frog chorus,60.0,52.0,24.0,97.0,8.666666666666666,4.0,16.166666666666668
LINEAR,Frog chorus,61.0,54.0,24.5,98.0,9.0,4.083333333333333,16.333333333333332
LINEAR,Frog chorus,62.0,57.0,26.0,101.0,9.5,4.333333333333333,16.833333333333332
LINEAR,Frog chorus,63.0,61.0,26.0,102.0,10.166666666666666,4.333333333333333,17.0
LINEAR,Frog chorus,64.0,62.0,28.0,111.0,10.333333333333334,4.666666666666667,18.5
LINEAR,Frog chorus,65.0,63.0,28.5,109.0,10.5,4.75,18.166666666666668
LINEAR,Frog chorus,66.0,66.0,31.0,118.0,11.0,5.166666666666667,19.666666666666668
LINEAR,Frog chorus,67.0,72.0,35.0,121.0,12.0,5.833333333333333,20.166666666666668
LINEAR,Frog chorus,68.0,76.0,39.0,121.0,12.666666666666666,6.5,20.166666666666668
LINEAR,Frog chorus,69.0,79.0,42.0,124.0,13.166666666666666,7.0,20.666666666666668
LINEAR,Frog chorus,70.0,84.0,50.0,123.5,14.0,8.333333333333334,20.583333333333332
LINEAR,Frog chorus,71.0,76.0,47.0,117.0,12.666666666666666,7.833333333333333,19.5
LINEAR,Frog chorus,72.0,75.0,46.0,119.0,12.5,7.666666666666667,19.833333333333332
LINEAR,Frog chorus,73.0,77.0,45.0,125.0,12.833333333333334,7.5,20.833333333333332
LINEAR,Frog chorus,74.0,84.0,53.75,130.0,14.0,8.958333333333334,21.666666666666668
LINEAR,Frog chorus,75.0,91.0,51.0,130.0,15.166666666666666,8.5,21.666666666666668
LINEAR,Frog chorus,76.0,94.5,56.0,129.75,15.75,9.333333333333334,21.625
LINEAR,Frog chorus,77.0,98.0,60.0,143.0,16.333333333333332,10.0,23.833333333333332
LINEAR,Frog chorus,78.0,103.5,61.25,141.0,17.25,10.208333333333334,23.5
LINEAR,Frog chorus,79.0,106.0,63.0,143.75,17.666666666666668,10.5,23.958333333333332
LINEAR,Frog chorus,80.0,110.5,61.5,145.0,18.416666666666668,10.25,24.166666666666668
LINEAR,Frog chorus,81.0,96.0,61.0,134.75,16.0,10.166666666666666,22.458333333333332
LINEAR,Frog chorus,82.0,95.0,64.0,139.0,15.833333333333334,10.666666666666666,23.166666666666668
LINEAR,Frog chorus,83.0,98.5,65.0,140.0,16.416666666666668,10.833333333333334,23.333333333333332
LINEAR,Frog chorus,84.0,111.0,71.5,149.5,18.5,11.916666666666666,24.916666666666668
LINEAR,Frog chorus,85.0,111.5,69.75,150.25,18.583333333333332,11.625,25.041666666666668
LINEAR,Frog chorus,86.0,114.0,74.75,152.0,19.0,12.458333333333334,25.333333333333332
LINEAR,Frog chorus,87.0,124.0,77.0,152.0,20.666666666666668,12.833333333333334,25.333333333333332
LINEAR,Frog chorus,88.0,111.0,74.0,154.0,18.5,12.333333333333334,25.666666666666668
LINEAR,Frog chorus,89.0,113.0,67.0,153.0,18.833333333333332,11.166666666666666,25.5
LINEAR,Frog chorus,90.0,117.0,77.0,159.0,19.5,12.833333333333334,26.5
LINEAR,Frog chorus,91.0,126.0,81.5,165.25,21.0,13.583333333333334,27.541666666666668
LINEAR,Frog chorus,92.0,117.0,83.75,151.75,19.5,13.958333333333334,25.291666666666668
LINEAR,Frog chorus,93.0,123.0,86.0,157.75,20.5,14.333333333333334,26.291666666666668
LINEAR,Frog chorus,94.0,131.0,88.0,164.0,21.833333333333332,14.666666666666666,27.333333333333332
LINEAR,Frog chorus,95.0,134.0,94.0,165.5,22.333333333333332,15.666666666666666,27.583333333333332
LINEAR,Frog chorus,96.0,133.0,93.0,165.0,22.166666666666668,15.5,27.5
LINEAR,Frog chorus,97.0,144.0,103.75,169.25,24.0,17.291666666666668,28.208333333333332
LINEAR,Frog chorus,98.0,145.0,97.0,171.0,24.166666666666668,16.166666666666668,28.5
LINEAR,Frog chorus,99.0,132.0,92.25,161.0,22.0,15.375,26.833333333333332
LINEAR,Frog chorus,100.0,130.0,91.0,160.75,21.666666666666668,15.166666666666666,26.791666666666668
LINEAR,Frog chorus,101.0,132.0,92.5,172.0,22.0,15.416666666666666,28.666666666666668
LINEAR,Frog chorus,102.0,124.0,93.0,163.5,20.666666666666668,15.5,27.25
LINEAR,Frog chorus,103.0,135.0,100.0,166.75,22.5,16.666666666666668,27.791666666666668
LINEAR,Frog chorus,104.0,143.0,95.75,171.0,23.833333333333332,15.958333333333334,28.5
LINEAR,Frog chorus,105.0,128.0,89.75,164.5,21.333333333333332,14.958333333333334,27.416666666666668
LINEAR,Frog chorus,106.0,130.0,97.0,168.0,21.666666666666668,16.166666666666668,28.0
LINEAR,Frog chorus,107.0,134.0,96.5,165.0,22.333333333333332,16.083333333333332,27.5
LINEAR,Frog chorus,108.0,138.0,103.0,168.0,23.0,17.166666666666668,28.0
LINEAR,Frog chorus,109.0,136.0,97.0,167.0,22.666666666666668,16.166666666666668,27.833333333333332
