function,label,k,overall_per_mean
LINEAR_4,modified frog chorus based,37.0,1.5106000000000002
LINEAR_4,modified frog chorus based,38.0,1.534955555555556
LINEAR_4,modified frog chorus based,39.0,1.4910666666666663
LINEAR_4,modified frog chorus based,40.0,1.518088888888889
LINEAR_4,modified frog chorus based,41.0,1.5315777777777777
LINEAR_4,modified frog chorus based,42.0,1.5015333333333338
LINEAR_4,modified frog chorus based,43.0,1.5390222222222223
LINEAR_4,modified frog chorus based,44.0,1.5811111111111116
LINEAR_4,modified frog chorus based,45.0,1.5501777777777783
LINEAR_4,modified frog chorus based,46.0,1.4925555555555556
LINEAR_4,modified frog chorus based,47.0,1.5462666666666671
LINEAR_4,modified frog chorus based,48.0,1.673088888888889
LINEAR_4,modified frog chorus based,49.0,1.5792222222222223
LINEAR_4,modified frog chorus based,50.0,1.5243999999999998
LINEAR_4,modified frog chorus based,51.0,1.612488888888889
LINEAR_4,modified frog chorus based,52.0,1.6700666666666668
LINEAR_4,modified frog chorus based,53.0,1.7186
LINEAR_4,modified frog chorus based,54.0,1.7028
LINEAR_4,modified frog chorus based,55.0,1.721666666666667
LINEAR_4,modified frog chorus based,56.0,1.8141111111111112
LINEAR_4,modified frog chorus based,57.0,1.8466222222222224
LINEAR_4,modified frog chorus based,58.0,1.865822222222222
LINEAR_4,modified frog chorus based,59.0,1.8266444444444443
LINEAR_4,modified frog chorus based,60.0,1.8424444444444448
LINEAR_4,modified frog chorus based,61.0,1.885133333333334
LINEAR_4,modified frog chorus based,62.0,1.934911111111111
LINEAR_4,modified frog chorus based,63.0,1.9608
LINEAR_4,modified frog chorus based,64.0,2.019755555555556
LINEAR_4,modified frog chorus based,65.0,1.9293111111111112
LINEAR_4,modified frog chorus based,66.0,2.022422222222222
LINEAR_4,modified frog chorus based,67.0,1.9416000000000004
LINEAR_4,modified frog chorus based,68.0,2.069466666666667
LINEAR_4,modified frog chorus based,69.0,2.111933333333334
LINEAR_4,modified frog chorus based,70.0,2.1298888888888894
LINEAR_4,modified frog chorus based,71.0,2.1012
LINEAR_4,modified frog chorus based,72.0,2.176555555555556
LINEAR_4,modified frog chorus based,73.0,2.195733333333333
LINEAR_4,modified frog chorus based,74.0,2.2104222222222223
LINEAR_4,modified frog chorus based,75.0,2.2600222222222226
LINEAR_4,modified frog chorus based,76.0,2.264977777777778
LINEAR_4,modified frog chorus based,77.0,2.278511111111112
LINEAR_4,modified frog chorus based,78.0,2.279244444444445
LINEAR_4,modified frog chorus based,79.0,2.315888888888889
LINEAR_4,modified frog chorus based,80.0,2.3440222222222222
LINEAR_4,modified frog chorus based,81.0,2.3087777777777783
LINEAR_4,modified frog chorus based,82.0,2.4076444444444443
LINEAR_4,modified frog chorus based,83.0,2.4414222222222226
LINEAR_4,modified frog chorus based,84.0,2.290755555555556
LINEAR_4,modified frog chorus based,85.0,2.445666666666667
LINEAR_4,modified frog chorus based,86.0,2.497866666666667
LINEAR_4,modified frog chorus based,87.0,2.511266666666667
LINEAR_4,modified frog chorus based,88.0,2.374355555555556
LINEAR_4,modified frog chorus based,89.0,2.5
LINEAR_4,modified frog chorus based,90.0,2.4874666666666663
LINEAR_4,modified frog chorus based,91.0,2.6208444444444443
LINEAR_4,modified frog chorus based,92.0,2.540688888888889
LINEAR_4,modified frog chorus based,93.0,2.607955555555556
LINEAR_4,modified frog chorus based,94.0,2.603644444444445
LINEAR_4,modified frog chorus based,95.0,2.653555555555556
LINEAR_4,modified frog chorus based,96.0,2.748266666666667
