function,label,k,residual_median,residual_q1,residual_q3,n_runs
KURAMOTO,Kuramoto based,1361.0,0.0652176321992517,0.0635076111099033,0.0674977584493618,500
KURAMOTO,Kuramoto based,1371.0,0.0658631651720073,0.0638765720132448,0.0673818052414706,500
KURAMOTO,Kuramoto based,1381.0,0.0657619589536331,0.0637772119963413,0.0678620755609552,500
KURAMOTO,Kuramoto based,1391.0,0.06554383390595,0.0637553275670964,0.0676777594397743,500
KURAMOTO,Kuramoto based,1401.0,0.0659199335035363,0.0639459659902724,0.0678162599627203,500
KURAMOTO,Kuramoto based,1411.0,0.0657765805220537,0.0641049355242297,0.0678535594548852,500
KURAMOTO,Kuramoto based,1421.0,0.0663030833135712,0.0640955220967752,0.0682806070252401,500
KURAMOTO,Kuramoto based,1431.0,0.0662230358429653,0.0645050349640937,0.0681963571290761,500
KURAMOTO,Kuramoto based,1441.0,0.0662788277981297,0.0642533002531908,0.0679788552731203,500
KURAMOTO,Kuramoto based,1451.0,0.0665120688208139,0.0645167408100913,0.0686285268970769,500
KURAMOTO,Kuramoto based,1461.0,0.0664638326769928,0.0646861890104387,0.0685373930770028,500
KURAMOTO,Kuramoto based,1471.0,0.0665447999237094,0.0647984427288055,0.0684552375844625,500
KURAMOTO,Kuramoto based,1481.0,0.0668645401609507,0.0650016905317084,0.0686922544296143,500
KURAMOTO,Kuramoto based,1491.0,0.0667820879359752,0.0648083135252505,0.0687663731017654,500
LINEAR,frog chorus based,1.0,0.0389878868018989,0.032268999179729,0.046258383342764,499
LINEAR,frog chorus based,2.0,0.0219620919864286,0.0163197626113779,0.0310415856303613,499
LINEAR,frog chorus based,3.0,0.0142884348278048,0.0099203769554547,0.0222923193130406,500
LINEAR,frog chorus based,4.0,0.0128090912189966,0.0093939292730186,0.0177363541466228,500
LINEAR,frog chorus based,5.0,0.0137036325472703,0.0103688013153486,0.0170365598124913,500
LINEAR,frog chorus based,6.0,0.0147300869257993,0.0115352203854775,0.0187743718146498,500
LINEAR,frog chorus based,7.0,0.0159776906237672,0.0125988676047495,0.0206583910912936,500
LINEAR,frog chorus based,8.0,0.0170198297514131,0.0133530628045579,0.022804035310094,500
