coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total
LINEAR,50,30.0,50,0.4888888888888889,18.0,96.0,35.5,72.0,1.0,100.0,1.0,100.0,0.029608104163952802,0.08984001753086183,0.05753519965885445,0
LINEAR,50,50.0,50,1.5333333333333332,54.0,84.0,,34.0,1.0,100.0,1.0,100.0,0.035507429082413014,0.10727350551058075,0.05398252220281059,0
LINEAR,50,70.0,50,4.166666666666667,129.0,34.0,,36.0,1.0,100.0,1.0,100.0,0.04174264006087422,0.1069359803443699,0.05012576686020334,0
LINEAR,50,100.0,50,9.833333333333334,180.0,2.0,,0.0,1.0,100.0,1.0,100.0,0.053229024840570405,0.12726171635565053,0.036109817701257665,0
LINEAR,50,150.0,50,19.933333333333334,,0.0,,0.0,1.0,100.0,2.0,100.0,0.08293112145010706,0.22339984615619962,0.0338826869505901,0
LINEAR,50,200.0,50,29.172222222222224,,0.0,,0.0,1.0,100.0,,0.0,0.11055881206440055,0.2952232816743564,0.0332112638409055,0
LINEAR,50,300.0,50,39.483333333333334,,0.0,,0.0,1.0,100.0,,0.0,0.16441280743162512,0.3796456398410383,0.03345781846048118,0
LINEAR,50,500.0,50,50.96111111111111,,0.0,,0.0,1.0,98.0,,0.0,0.2601388989677633,0.6496535394446187,0.03319081980348228,302
LINEAR,50,700.0,50,44.294444444444444,,0.0,,0.0,1.0,100.0,,0.0,0.1927805977606224,0.8013853212847759,0.03360169305459648,0
LINEAR,50,1000.0,50,44.58333333333333,,0.0,,0.0,1.0,100.0,,0.0,0.22312223620711058,0.5975876691928825,0.033507714241570286,0
LINEAR,50,1500.0,50,35.733333333333334,,0.0,,0.0,1.0,100.0,,0.0,0.15613552935058764,0.6053310585686246,0.03326925194696667,0
LINEAR,50,2000.0,50,74.9,,0.0,,0.0,1.0,98.0,,0.0,0.7538943902553707,2.2296058084086257,0.034008066838381534,5250
