coupling_function,phi_original_rad,phase_difference_wrapped_rad,coupling_function_value
KURAMOTO,-2.321287905152458,-2.321287905152458,-0.7313537016191706
KURAMOTO,-2.312561258892486,-2.312561258892486,-0.7372773368101241
KURAMOTO,-2.3038346126325147,-2.3038346126325147,-0.7431448254773945
KURAMOTO,-2.295107966372544,-2.295107966372544,-0.7489557207890021
KURAMOTO,-2.286381320112572,-2.286381320112572,-0.7547095802227721
KURAMOTO,-2.2776546738526,-2.2776546738526,-0.7604059656000309
KURAMOTO,-2.2689280275926285,-2.2689280275926285,-0.766044443118978
KURAMOTO,-2.2602013813326565,-2.2602013813326565,-0.7716245833877202
KURAMOTO,-2.251474735072685,-2.251474735072685,-0.777145961456971
KURAMOTO,-2.2427480888127134,-2.2427480888127134,-0.782608156852414
KURAMOTO,-2.234021442552742,-2.234021442552742,-0.788010753606722
KURAMOTO,-2.2252947962927703,-2.2252947962927703,-0.7933533402912352
KURAMOTO,-2.2165681500327983,-2.2165681500327983,-0.798635510047293
KURAMOTO,-2.2078415037728267,-2.2078415037728267,-0.8038568606172174
KURAMOTO,-2.199114857512855,-2.199114857512855,-0.8090169943749475
KURAMOTO,-2.190388211252884,-2.190388211252884,-0.8141155183563192
KURAMOTO,-2.181661564992912,-2.181661564992912,-0.8191520442889917
KURAMOTO,-2.17293491873294,-2.17293491873294,-0.8241261886220158
KURAMOTO,-2.1642082724729685,-2.1642082724729685,-0.8290375725550417
KURAMOTO,-2.155481626212997,-2.155481626212997,-0.8338858220671682
KURAMOTO,-2.146754979953025,-2.146754979953025,-0.8386705679454243
KURAMOTO,-2.138028333693054,-2.138028333693054,-0.8433914458128856
KURAMOTO,-2.129301687433082,-2.129301687433082,-0.8480480961564261
KURAMOTO,-2.1205750411731104,-2.1205750411731104,-0.8526401643540923
KURAMOTO,-2.111848394913139,-2.111848394913139,-0.8571673007021123
KURAMOTO,-2.103121748653167,-2.103121748653167,-0.8616291604415259
KURAMOTO,-2.094395102393196,-2.094395102393196,-0.8660254037844386
KURAMOTO,-2.085668456133224,-2.085668456133224,-0.8703556959398997
KURAMOTO,-2.076941809873252,-2.076941809873252,-0.8746197071393959
KURAMOTO,-2.0682151636132806,-2.0682151636132806,-0.8788171126619654
KURAMOTO,-2.0594885173533086,-2.0594885173533086,-0.8829475928589271
KURAMOTO,-2.050761871093337,-2.050761871093337,-0.8870108331782218
KURAMOTO,-2.042035224833365,-2.042035224833365,-0.8910065241883679
KURAMOTO,-2.033308578573393,-2.033308578573393,-0.8949343616020252
KURAMOTO,-2.0245819323134224,-2.0245819323134224,-0.8987940462991669
KURAMOTO,-2.0158552860534504,-2.0158552860534504,-0.9025852843498609
KURAMOTO,-2.007128639793479,-2.007128639793479,-0.90630778703665
KURAMOTO,-1.9984019935335076,-1.9984019935335076,-0.9099612708765432
KURAMOTO,-1.989675347273536,-1.989675347273536,-0.913545457642601
KURAMOTO,-1.980948701013564,-1.980948701013564,-0.917060074385124
KURAMOTO,-1.972222054753592,-1.972222054753592,-0.9205048534524404
KURAMOTO,-1.9634954084936207,-1.9634954084936207,-0.9238795325112868
KURAMOTO,-1.954768762233649,-1.954768762233649,-0.9271838545667874
KURAMOTO,-1.9460421159736772,-1.9460421159736772,-0.9304175679820246
KURAMOTO,-1.9373154697137056,-1.9373154697137056,-0.9335804264972016
KURAMOTO,-1.928588823453734,-1.928588823453734,-0.9366721892483976
KURAMOTO,-1.9198621771937625,-1.9198621771937625,-0.9396926207859084
KURAMOTO,-1.9111355309337907,-1.9111355309337907,-0.9426414910921784
KURAMOTO,-1.9024088846738192,-1.9024088846738192,-0.9455185755993168
KURAMOTO,-1.8936822384138476,-1.8936822384138476,-0.9483236552061994
KURAMOTO,-1.884955592153876,-1.884955592153876,-0.9510565162951536
KURAMOTO,-1.876228945893904,-1.876228945893904,-0.9537169507482268
KURAMOTO,-1.8675022996339323,-1.8675022996339323,-0.9563047559630355
KURAMOTO,-1.858775653373961,-1.858775653373961,-0.958819734868193
KURAMOTO,-1.8500490071139888,-1.8500490071139888,-0.9612616959383188
KURAMOTO,-1.8413223608540177,-1.8413223608540177,-0.963630453208623
