coupling_function,phase_difference_rad,coupling_function_value
KURAMOTO,-0.5148721293383272,-0.49242356010346705
KURAMOTO,-0.5061454830783556,-0.48480962024633706
KURAMOTO,-0.49741883681838406,-0.4771587602596085
KURAMOTO,-0.48869219055841207,-0.4694715627858906
KURAMOTO,-0.4799655442984405,-0.4617486132350338
KURAMOTO,-0.47123889803846897,-0.45399049973954675
KURAMOTO,-0.4625122517784974,-0.4461978131098089
KURAMOTO,-0.4537856055185254,-0.4383711467890772
KURAMOTO,-0.4450589592585539,-0.430511096808295
KURAMOTO,-0.43633231299858233,-0.4226182617406994
KURAMOTO,-0.4276056667386108,-0.4146932426562391
KURAMOTO,-0.41887902047863923,-0.4067366430758003
KURAMOTO,-0.41015237421866724,-0.39874906892524603
KURAMOTO,-0.4014257279586957,-0.39073112848927366
KURAMOTO,-0.39269908169872414,-0.3826834323650898
KURAMOTO,-0.3839724354387526,-0.3746065934159121
KURAMOTO,-0.3752457891787806,-0.366501226724297
KURAMOTO,-0.36651914291880905,-0.3583679495453001
KURAMOTO,-0.3577924966588375,-0.3502073812594674
KURAMOTO,-0.34906585039886595,-0.34202014332566877
KURAMOTO,-0.3403392041388944,-0.33380685923377107
KURAMOTO,-0.3316125578789224,-0.3255681544571565
KURAMOTO,-0.32288591161895086,-0.31730465640509203
KURAMOTO,-0.3141592653589793,-0.3090169943749474
KURAMOTO,-0.30543261909900776,-0.30070579950427323
KURAMOTO,-0.29670597283903577,-0.2923717047227365
KURAMOTO,-0.2879793265790642,-0.2840153447039225
KURAMOTO,-0.27925268031909267,-0.2756373558169991
KURAMOTO,-0.2705260340591211,-0.2672383760782569
KURAMOTO,-0.2617993877991496,-0.2588190451025209
KURAMOTO,-0.2530727415391776,-0.2503800040544412
KURAMOTO,-0.24434609527920603,-0.24192189559966762
KURAMOTO,-0.23561944901923448,-0.2334453638559054
KURAMOTO,-0.22689280275926293,-0.2249510543438651
KURAMOTO,-0.21816615649929094,-0.21643961393810263
KURAMOTO,-0.2094395102393194,-0.20791169081775918
KURAMOTO,-0.20071286397934784,-0.19936793441719713
KURAMOTO,-0.1919862177193763,-0.19080899537654486
KURAMOTO,-0.18325957145940475,-0.18223552549214758
KURAMOTO,-0.17453292519943275,-0.17364817766693014
KURAMOTO,-0.1658062789394612,-0.16504760586067754
KURAMOTO,-0.15707963267948966,-0.15643446504023087
KURAMOTO,-0.1483529864195181,-0.1478094111296107
KURAMOTO,-0.13962634015954611,-0.1391731009600652
