function,label,delta_rad,coupling_value
NewSIN,1-sin based,-1.1955505376161157,-0.06958243201797532
NewSIN,1-sin based,-1.186823891356144,-0.07281614543321258
NewSIN,1-sin based,-1.1780972450961724,-0.07612046748871337
NewSIN,1-sin based,-1.1693705988362006,-0.07949514654755951
NewSIN,1-sin based,-1.160643952576229,-0.08293992561487595
NewSIN,1-sin based,-1.1519173063162573,-0.08645454235739924
NewSIN,1-sin based,-1.1431906600562858,-0.09003872912345667
NewSIN,1-sin based,-1.1344640137963142,-0.09369221296334973
NewSIN,1-sin based,-1.1257373675363427,-0.09741471565013926
NewSIN,1-sin based,-1.1170107212763707,-0.10120595370083296
NewSIN,1-sin based,-1.1082840750163991,-0.10506563839797467
NewSIN,1-sin based,-1.0995574287564276,-0.10899347581163199
NewSIN,1-sin based,-1.090830782496456,-0.1129891668217784
NewSIN,1-sin based,-1.082104136236484,-0.1170524071410729
NewSIN,1-sin based,-1.0733774899765125,-0.12118288733803462
NewSIN,1-sin based,-1.064650843716541,-0.12538029286060437
NewSIN,1-sin based,-1.0559241974565694,-0.1296443040601002
NewSIN,1-sin based,-1.0471975511965979,-0.13397459621556096
NewSIN,1-sin based,-1.0384709049366259,-0.1383708395584745
NewSIN,1-sin based,-1.0297442586766543,-0.14283269929788767
NewSIN,1-sin based,-1.0210176124166828,-0.1473598356459075
NewSIN,1-sin based,-1.0122909661567112,-0.15195190384357393
NewSIN,1-sin based,-1.0035643198967392,-0.15660855418711428
NewSIN,1-sin based,-0.9948376736367677,-0.16132943205457573
NewSIN,1-sin based,-0.9861110273767961,-0.16611417793283179
NewSIN,1-sin based,-0.9773843811168246,-0.17096242744495838
NewSIN,1-sin based,-0.968657734856853,-0.1758738113779842
NewSIN,1-sin based,-0.959931088596881,-0.1808479557110082
NewSIN,1-sin based,-0.9512044423369095,-0.185884481643681
NewSIN,1-sin based,-0.9424777960769379,-0.19098300562505244
NewSIN,1-sin based,-0.9337511498169664,-0.19614313938278227
NewSIN,1-sin based,-0.9250245035569944,-0.2013644899527074
NewSIN,1-sin based,-0.9162978572970228,-0.20664665970876483
NewSIN,1-sin based,-0.9075712110370513,-0.21198924639327765
NewSIN,1-sin based,-0.8988445647770797,-0.21739184314758597
NewSIN,1-sin based,-0.8901179185171082,-0.2228540385430292
NewSIN,1-sin based,-0.8813912722571362,-0.22837541661227978
NewSIN,1-sin based,-0.8726646259971647,-0.23395555688102188
NewSIN,1-sin based,-0.8639379797371931,-0.23959403439996918
NewSIN,1-sin based,-0.8552113334772216,-0.24529041977722776
NewSIN,1-sin based,-0.8464846872172496,-0.2510442792109979
NewSIN,1-sin based,-0.837758040957278,-0.256855174522606
NewSIN,1-sin based,-0.8290313946973065,-0.2627226631898758
NewSIN,1-sin based,-0.8203047484373349,-0.268646298380829
NewSIN,1-sin based,-0.8115781021773634,-0.27462562898771214
NewSIN,1-sin based,-0.8028514559173914,-0.2806601996613489
NewSIN,1-sin based,-0.7941248096574198,-0.2867495508458181
NewSIN,1-sin based,-0.7853981633974483,-0.2928932188134523
NewSIN,1-sin based,-0.7766715171374767,-0.2990907357001492
NewSIN,1-sin based,-0.7679448708775047,-0.3053416295410024
NewSIN,1-sin based,-0.7592182246175332,-0.311645424306246
NewSIN,1-sin based,-0.7504915783575616,-0.31800163993750175
NewSIN,1-sin based,-0.7417649320975901,-0.32440979238433953
NewSIN,1-sin based,-0.7330382858376185,-0.3308693936411412
NewSIN,1-sin based,-0.7243116395776465,-0.33737995178426283
NewSIN,1-sin based,-0.715584993317675,-0.3439409710094926
NewSIN,1-sin based,-0.7068583470577035,-0.3505519516698159
NewSIN,1-sin based,-0.6981317007977319,-0.3572123903134604
NewSIN,1-sin based,-0.6894050545377599,-0.36392177972223605
NewSIN,1-sin based,-0.6806784082777884,-0.37067960895016216
NewSIN,1-sin based,-0.6719517620178168,-0.37748536336238037
NewSIN,1-sin based,-0.6632251157578453,-0.3843385246743418
NewSIN,1-sin based,-0.6544984694978737,-0.391238570991279
NewSIN,1-sin based,-0.6457718232379017,-0.39818497684795173
NewSIN,1-sin based,-0.6370451769779302,-0.40517721324865896
NewSIN,1-sin based,-0.6283185307179586,-0.41221474770752664
NewSIN,1-sin based,-0.6195918844579871,-0.41929704428905956
NewSIN,1-sin based,-0.6108652381980151,-0.4264235636489543
NewSIN,1-sin based,-0.6021385919380435,-0.43359376307516706
NewSIN,1-sin based,-0.593411945678072,-0.44080709652925265
NewSIN,1-sin based,-0.5846852994181004,-0.44806301468794163
NewSIN,1-sin based,-0.5759586531581289,-0.455360964984973
NewSIN,1-sin based,-0.5672320068981569,-0.4627003916531758
NewSIN,1-sin based,-0.5585053606381853,-0.470080735766795
NewSIN,1-sin based,-0.5497787143782138,-0.4775014352840513
NewSIN,1-sin based,-0.5410520681182422,-0.4849619250899455
NewSIN,1-sin based,-0.5323254218582703,-0.4924616370392959
NewSIN,1-sin based,-0.5235987755982987,-0.5000000000000003
NewSIN,1-sin based,-0.5148721293383272,-0.5075764398965328
NewSIN,1-sin based,-0.5061454830783556,-0.5151903797536623
NewSIN,1-sin based,-0.49741883681838406,-0.5228412397403912
NewSIN,1-sin based,-0.48869219055841207,-0.5305284372141092
NewSIN,1-sin based,-0.4799655442984405,-0.5382513867649656
NewSIN,1-sin based,-0.47123889803846897,-0.546009500260453
NewSIN,1-sin based,-0.4625122517784974,-0.5538021868901913
NewSIN,1-sin based,-0.4537856055185254,-0.5616288532109222
NewSIN,1-sin based,-0.4450589592585539,-0.5694889031917048
NewSIN,1-sin based,-0.43633231299858233,-0.5773817382593007
NewSIN,1-sin based,-0.4276056667386108,-0.5853067573437607
NewSIN,1-sin based,-0.41887902047863923,-0.5932633569241991
NewSIN,1-sin based,-0.41015237421866724,-0.6012509310747542
NewSIN,1-sin based,-0.4014257279586957,-0.6092688715107262
NewSIN,1-sin based,-0.39269908169872414,-0.6173165676349096
NewSIN,1-sin based,-0.3839724354387526,-0.6253934065840876
NewSIN,1-sin based,-0.3752457891787806,-0.6334987732757027
NewSIN,1-sin based,-0.36651914291880905,-0.6416320504546993
NewSIN,1-sin based,-0.3577924966588375,-0.6497926187405323
NewSIN,1-sin based,-0.34906585039886595,-0.6579798566743313
NewSIN,1-sin based,-0.3403392041388944,-0.6661931407662287
NewSIN,1-sin based,-0.3316125578789224,-0.6744318455428433
NewSIN,1-sin based,-0.32288591161895086,-0.6826953435949081
NewSIN,1-sin based,-0.3141592653589793,-0.6909830056250523
NewSIN,1-sin based,-0.30543261909900776,-0.6992942004957261
NewSIN,1-sin based,-0.29670597283903577,-0.7076282952772637
NewSIN,1-sin based,-0.2879793265790642,-0.7159846552960774
NewSIN,1-sin based,-0.27925268031909267,-0.7243626441830002
NewSIN,1-sin based,-0.2705260340591211,-0.7327616239217429
NewSIN,1-sin based,-0.2617993877991496,-0.7411809548974793
NewSIN,1-sin based,-0.2530727415391776,-0.7496199959455581
NewSIN,1-sin based,-0.24434609527920603,-0.7580781044003322
NewSIN,1-sin based,-0.23561944901923448,-0.7665546361440948
NewSIN,1-sin based,-0.22689280275926293,-0.7750489456561347
NewSIN,1-sin based,-0.21816615649929094,-0.7835603860618972
NewSIN,1-sin based,-0.2094395102393194,-0.792088309182241
NewSIN,1-sin based,-0.20071286397934784,-0.8006320655828026
NewSIN,1-sin based,-0.1919862177193763,-0.8091910046234545
NewSIN,1-sin based,-0.18325957145940475,-0.8177644745078522
NewSIN,1-sin based,-0.17453292519943275,-0.8263518223330696
NewSIN,1-sin based,-0.1658062789394612,-0.8349523941393218
NewSIN,1-sin based,-0.15707963267948966,-0.8435655349597689
NewSIN,1-sin based,-0.1483529864195181,-0.8521905888703895
NewSIN,1-sin based,-0.13962634015954611,-0.8608268990399341
NewSIN,1-sin based,-0.13089969389957457,-0.8694738077799483
NewSIN,1-sin based,-0.12217304763960302,-0.8781306565948528
NewSIN,1-sin based,-0.11344640137963147,-0.886796786232093
NewSIN,1-sin based,-0.10471975511965992,-0.8954715367323457
NewSIN,1-sin based,-0.09599310885968793,-0.9041542474797764
NewSIN,1-sin based,-0.08726646259971638,-0.9128442572523416
NewSIN,1-sin based,-0.07853981633974483,-0.9215409042721544
NewSIN,1-sin based,-0.06981317007977328,-0.9302435262558744
NewSIN,1-sin based,-0.061086523819801286,-0.9389514604651431
NewSIN,1-sin based,-0.05235987755982974,-0.9476640437570556
NewSIN,1-sin based,-0.04363323129985819,-0.9563806126346638
NewSIN,1-sin based,-0.03490658503988664,-0.9651005032974992
NewSIN,1-sin based,-0.02617993877991509,-0.9738230516921265
NewSIN,1-sin based,-0.017453292519943098,-0.9825475935627165
NewSIN,1-sin based,-0.008726646259971549,-0.9912734645016263
NewSIN,1-sin based,0.0,
NewSIN,1-sin based,,
NewSIN,1-sin based,0.0,
NewSIN,1-sin based,0.008726646259971648,0.991273464501626
NewSIN,1-sin based,0.017453292519943295,0.9825475935627165
NewSIN,1-sin based,0.026179938779914945,0.9738230516921268
NewSIN,1-sin based,0.03490658503988659,0.9651005032974991
NewSIN,1-sin based,0.04363323129985824,0.956380612634664
NewSIN,1-sin based,0.05235987755982989,0.9476640437570562
NewSIN,1-sin based,0.061086523819801536,0.9389514604651431
NewSIN,1-sin based,0.06981317007977318,0.9302435262558747
NewSIN,1-sin based,0.07853981633974483,0.9215409042721551
NewSIN,1-sin based,0.08726646259971647,0.9128442572523419
NewSIN,1-sin based,0.09599310885968812,0.904154247479776
NewSIN,1-sin based,0.10471975511965978,0.8954715367323465
NewSIN,1-sin based,0.11344640137963143,0.8867967862320932
NewSIN,1-sin based,0.12217304763960307,0.8781306565948526
NewSIN,1-sin based,0.1308996938995747,0.8694738077799484
NewSIN,1-sin based,0.13962634015954636,0.8608268990399346
NewSIN,1-sin based,0.14835298641951802,0.8521905888703893
NewSIN,1-sin based,0.15707963267948966,0.8435655349597692
NewSIN,1-sin based,0.16580627893946132,0.8349523941393223
NewSIN,1-sin based,0.17453292519943295,0.8263518223330697
NewSIN,1-sin based,0.1832595714594046,0.8177644745078525
NewSIN,1-sin based,0.19198621771937624,0.8091910046234552
NewSIN,1-sin based,0.2007128639793479,0.8006320655828028
NewSIN,1-sin based,0.20943951023931956,0.7920883091822406
NewSIN,1-sin based,0.2181661564992912,0.7835603860618972
NewSIN,1-sin based,0.22689280275926285,0.775048945656135
NewSIN,1-sin based,0.23561944901923448,0.7665546361440946
NewSIN,1-sin based,0.24434609527920614,0.7580781044003323
NewSIN,1-sin based,0.2530727415391778,0.7496199959455585
NewSIN,1-sin based,0.2617993877991494,0.7411809548974793
NewSIN,1-sin based,0.27052603405912107,0.7327616239217432
NewSIN,1-sin based,0.2792526803190927,0.7243626441830009
NewSIN,1-sin based,0.2879793265790644,0.7159846552960774
NewSIN,1-sin based,0.29670597283903605,0.7076282952772632
NewSIN,1-sin based,0.30543261909900765,0.6992942004957269
NewSIN,1-sin based,0.3141592653589793,0.6909830056250525
NewSIN,1-sin based,0.32288591161895097,0.6826953435949079
