function,label,residual_column,time_point_min,k,residual_phase_spacing_error,n_runs
LINEAR,frog chorus based,residual_median,30,6.0,0.0147300869257993,500
LINEAR,frog chorus based,residual_median,30,7.0,0.0159776906237672,500
LINEAR,frog chorus based,residual_median,30,8.0,0.0170198297514131,500
LINEAR,frog chorus based,residual_median,30,9.0,0.0180177147871788,499
LINEAR,frog chorus based,residual_median,30,10.0,0.0189925535946108,498
LINEAR,frog chorus based,residual_median,30,11.0,0.0199385961964565,498
LINEAR,frog chorus based,residual_median,30,12.0,0.0204039914215895,498
LINEAR,frog chorus based,residual_median,30,13.0,0.0213802559926009,499
LINEAR,frog chorus based,residual_median,30,14.0,0.0222839328111741,495
LINEAR,frog chorus based,residual_median,30,15.0,0.0232365059881466,496
LINEAR,frog chorus based,residual_median,30,16.0,0.0235327153468858,495
LINEAR,frog chorus based,residual_median,30,17.0,0.0241238042071746,498
LINEAR,frog chorus based,residual_median,30,18.0,0.0245276891586591,493
LINEAR,frog chorus based,residual_median,30,19.0,0.0251932236021771,494
LINEAR,frog chorus based,residual_median,30,20.0,0.0259384885313494,495
LINEAR,frog chorus based,residual_median,30,21.0,0.0257897036440674,491
LINEAR,frog chorus based,residual_median,30,22.0,0.0267311743889646,491
LINEAR,frog chorus based,residual_median,30,23.0,0.0272249704759441,491
LINEAR,frog chorus based,residual_median,30,24.0,0.0277894526091967,490
LINEAR,frog chorus based,residual_median,30,25.0,0.02821993959603,493
LINEAR,frog chorus based,residual_median,30,26.0,0.0288184899171491,492
LINEAR,frog chorus based,residual_median,30,27.0,0.0293948742197627,493
LINEAR,frog chorus based,residual_median,30,28.0,0.0298128639052628,496
LINEAR,frog chorus based,residual_median,30,29.0,0.0296528801743024,492
LINEAR,frog chorus based,residual_median,30,30.0,0.0303930484891677,494
LINEAR,frog chorus based,residual_median,30,31.0,0.0304723023961568,491
LINEAR,frog chorus based,residual_median,30,32.0,0.03081671301479,489
LINEAR,frog chorus based,residual_median,30,33.0,0.0308590989885858,493
LINEAR,frog chorus based,residual_median,30,34.0,0.0315995804203996,492
LINEAR,frog chorus based,residual_median,30,35.0,0.0319802891083514,489
LINEAR,frog chorus based,residual_median,30,36.0,0.032249860184088,494
LINEAR,frog chorus based,residual_median,30,37.0,0.0327573514829793,492
LINEAR,frog chorus based,residual_median,30,38.0,0.0329359150638331,488
LINEAR,frog chorus based,residual_median,30,39.0,0.0335005419705675,491
LINEAR,frog chorus based,residual_median,30,40.0,0.0338454441172023,494
LINEAR,frog chorus based,residual_median,30,41.0,0.0340447136997201,489
LINEAR,frog chorus based,residual_median,30,42.0,0.0345073526068544,492
