function,label,k,overall_per_mean,residual_median,residual_3min_median
LINEAR,frog chorus based,79.0,3.649644444444444,0.048103224839824,0.0497812411592639
LINEAR,frog chorus based,80.0,3.647844444444445,0.0486565990938013,0.0500862864010055
LINEAR,frog chorus based,81.0,3.7045777777777777,0.0491401541783743,0.0502379623233231
LINEAR,frog chorus based,82.0,3.785288888888889,0.0496406005999471,0.050655630447962
LINEAR,frog chorus based,83.0,3.927133333333334,0.0500595284338357,0.0510578233941031
LINEAR,frog chorus based,84.0,3.888888888888889,0.0505832083128344,0.0514040321781746
LINEAR,frog chorus based,85.0,4.026977777777778,0.0510142384886265,0.0517720230165081
LINEAR,frog chorus based,86.0,4.118311111111112,0.0516046292203541,0.0520207398069395
LINEAR,frog chorus based,87.0,4.253466666666666,0.0520356199691299,0.0522820033079506
LINEAR,frog chorus based,88.0,4.259399999999999,0.0526056894060108,0.0527526301789508
LINEAR,frog chorus based,89.0,4.2966444444444445,0.0530524007144384,0.0531602174902785
LINEAR,frog chorus based,90.0,4.3056,0.0535708644320974,0.0535518875827104
LINEAR,frog chorus based,91.0,4.481888888888888,0.0540643804723844,0.0537424564735168
LINEAR,frog chorus based,92.0,4.3967777777777775,0.0545860129097558,0.0543486521378874
LINEAR,frog chorus based,93.0,4.5504444444444445,0.0552583249550904,0.0545718399549907
LINEAR,frog chorus based,94.0,4.704244444444445,0.0555814258653265,0.0552483887912133
LINEAR,frog chorus based,95.0,4.667066666666667,0.0562151732346843,0.0556853003796951
LINEAR,frog chorus based,96.0,4.649844444444445,0.0567822121351543,0.0558684383149436
LINEAR,frog chorus based,97.0,4.773244444444445,0.057214118162823,0.0563533086470557
LINEAR,frog chorus based,98.0,5.037911111111111,0.05766848145056,0.0566934814257666
LINEAR,frog chorus based,99.0,4.997,0.0582908371348129,0.0572167397695213
LINEAR,frog chorus based,100.0,5.045266666666667,0.0588699936678309,0.057556856429249
LINEAR,frog chorus based,101.0,5.148333333333333,0.0594210517730458,0.0580395670334533
LINEAR,frog chorus based,102.0,5.156755555555556,0.0597585408444789,0.0586307820063743
LINEAR,frog chorus based,103.0,5.266155555555555,0.0603167715486338,0.0592391968564882
LINEAR,frog chorus based,104.0,5.261044444444444,0.0609967344723055,0.0596906825552375
LINEAR,frog chorus based,105.0,5.254266666666666,0.0616982106134941,0.0601870924091621
LINEAR,frog chorus based,106.0,5.3552,0.0621728030993443,0.0607010635800015
LINEAR,frog chorus based,107.0,5.516488888888889,0.0623940894468203,0.0611790844943225
LINEAR,frog chorus based,108.0,5.558577777777778,0.0632619043904474,0.0618006740685985
LINEAR,frog chorus based,109.0,5.680622222222223,0.0637908497454137,0.0622842169353691
LINEAR,frog chorus based,110.0,5.877044444444445,0.0640847784741761,0.0628317653952729
LINEAR,frog chorus based,111.0,5.987844444444445,0.0649520619358037,0.063500316741002
LINEAR,frog chorus based,112.0,5.980266666666666,0.065271704856054,0.0637126129322379
LINEAR,frog chorus based,113.0,6.1796,0.0657133671212384,0.0642566119218006
LINEAR,frog chorus based,114.0,6.086644444444445,0.0663120974256065,0.0646402687179701
LINEAR,frog chorus based,115.0,6.302688888888889,0.0668437205645091,0.0652486325023582
LINEAR,frog chorus based,116.0,6.3857333333333335,0.0673075141191647,0.0656974738348206
LINEAR,frog chorus based,117.0,6.425800000000001,0.0679035901969716,0.0663582058528348
LINEAR,frog chorus based,118.0,6.661333333333334,0.0684186200797949,0.0670190916072287
LINEAR,frog chorus based,119.0,6.619244444444445,0.0688509905334044,0.0672250983942628
LINEAR,frog chorus based,120.0,6.792133333333333,0.06914216934421,0.0679964562624777
LINEAR,frog chorus based,121.0,6.858155555555555,0.0696038822664786,0.0686051036804298
LINEAR,frog chorus based,122.0,7.028644444444444,0.0701243447923538,0.0690473495677068
LINEAR,frog chorus based,123.0,7.2208,0.070500270818566,0.0696588163328437
LINEAR,frog chorus based,124.0,7.284133333333333,0.0710805721684258,0.0702648482455035
LINEAR,frog chorus based,125.0,7.313133333333333,0.071671430172716,0.0707563094115263
LINEAR,frog chorus based,126.0,7.410955555555555,0.0716457123599448,0.0712860719579975
LINEAR,frog chorus based,127.0,7.613755555555556,0.0725003516473765,0.0714491394652984
LINEAR,frog chorus based,128.0,7.685,0.0726953899994569,0.0721434381328961
LINEAR,frog chorus based,129.0,7.8978,0.0730780009353179,0.0725713599908279
LINEAR,frog chorus based,130.0,7.963866666666666,0.0736679808309121,0.0731403272209891
LINEAR,frog chorus based,131.0,8.098044444444445,0.0739353941310894,0.0736437018835689
LINEAR,frog chorus based,132.0,8.295244444444444,0.0745950451515674,0.0741067029791432
LINEAR,frog chorus based,133.0,8.53208888888889,0.0750065962891678,0.0746288504432265
LINEAR,frog chorus based,134.0,8.648155555555556,0.0753425448566834,0.0753614367820679
LINEAR,frog chorus based,135.0,8.826866666666668,0.0760026911464683,0.0756551593591118
LINEAR,frog chorus based,136.0,8.906244444444445,0.0764089898804593,0.0760895009208217
LINEAR,frog chorus based,137.0,9.095422222222224,0.0764793402474328,0.0766406542517907
LINEAR,frog chorus based,138.0,9.342755555555556,0.076922744802643,0.0770491148119949
LINEAR,frog chorus based,139.0,9.455511111111113,0.077755280938067,0.0776405730884044
LINEAR,frog chorus based,140.0,9.647022222222224,0.0782440619643966,0.0782640855390573
LINEAR,frog chorus based,141.0,9.786444444444443,0.0786289092746779,0.0787453055410367
LINEAR,frog chorus based,142.0,9.777177777777776,0.0789294487204844,0.0791274653449386
LINEAR,frog chorus based,143.0,9.799955555555556,0.0792843866663544,0.0795866184555626
LINEAR,frog chorus based,144.0,10.091466666666667,0.0799717418708648,0.080163642210361
LINEAR,frog chorus based,145.0,10.333066666666666,0.080605609307124,0.0805203199227757
LINEAR,frog chorus based,146.0,10.484777777777778,0.0805120330055223,0.0811039756021888
LINEAR,frog chorus based,147.0,10.56182222222222,0.0810161611983419,0.0817165162654546
LINEAR,frog chorus based,148.0,10.80048888888889,0.0819871983399445,0.0818735368930729
LINEAR,frog chorus based,149.0,10.825955555555556,0.0824314285709022,0.0825320300536455
LINEAR,frog chorus based,150.0,11.042488888888888,0.0829446205882786,0.0830117942429186
